diametro(mm);Cimento;CCE;Areia;Brita0;Brita1
37.5;100;100;100;100;100
25;100;100;100;100;100
19;100;100;100;100;99.11
12.5;100;100;100;99.73;47.83
9.5;100;100;100;84.81;15.64
6.3;100;100;100;43.25;1.33
4.75;100;100;100;22.57;0.63
2.36;100;100;99.83;1.28;0.58
1.18;100;100;93.91;0.33;0.58
0.6;100;100;69.97;0.31;0.56
0.3;100;100;15.56;0.31;0.54
0.15;100;100;0.47;0.29;0.51
0.075;100;90.01;0;0;0
0.0375;97.74;68.19;0;0;0
0.01875;77.68;47.33;0;0;0
0.009375;45.85;31.14;0;0;0
0.0046875;27.46;22.67;0;0;0
0.00234375;23.17;14.03;0;0;0
0.001171875;14.42;7.37;0;0;0
